Question,Max Score
Will there be a recourse process planned or established for clients that wish to challenge the decision?,2
Will the system enable human override of system decisions?,2
Will there be a process in place to log the instances when overrides were performed?,1
Will the audit trail include change control processes to record modifications to the system's operation or performance?,2
Will you be preparing a concept case to the Government of Canada Enterprise Architecture Review Board?,1
"If your system uses or creates personal information, will you undertake or have you undertaken a Privacy Impact Assessment, or updated an existing one?",1
Please indicate the following in your answer: Title and scope of the Privacy Impact Assessment; How the automation project fits into the program; and Date of Privacy Impact Assessment completion or modification.,0
Have you undertaken other types of privacy assessments for your automation project?  Please describe any relevant efforts.,0
Will you design and build security and privacy into your systems from the concept stage of the project?,1
"Will information be used within a closed system (i.e. no connections to the Internet, Intranet or any other system)?",1
"If the sharing of personal information is involved, has an agreement or arrangement with appropriate safeguards been established?",1
Will you de-identify any personal information used or created by the system at any point in the lifecycle? ,1
Please describe your de-identification method(s).,0
